,Date,User,Comment
45,,,https://gazettengr.com/it-takes-4000-to-move-a-container-from-apapa-to-lagos-mainland-report/
46,"11:40pm On Dec 22, 2021 ",PetroDolla2020,
47,,,"Watch your mouth, edi0t! How is Ghana benefiting from nigeria? Except if you call 419, yahoo yahoo, poverty, robberies and pr0stitution benefits.Ghana objected to the border closure by nigeria strictly because it violated ecowas protocols on free movement . By the way, Ghana’s land borders have been closed for the past two years because of covid and Ghana’s economy is still growing strong.nigeria closed its borders for just one year and they are still counting the cost in that shiithole. Prices of food and everything went through the roof due to the border closure. Buhari had to open the borders when hunger started killing the imbeciles. People were and are still shouting hunger hunger in that zoo. Your high commissioner in Accra has been begging the Ghana government to open Ghana’s borders. Even with Ghana’s borders closed, you nigerians have been bribing Ghanaian immigration officials to enter Ghana. Shameless mudder fuggerx. Which masquerade is chasing Nigerians that they cannot stay in that sh1thole these days?"
48,"7:51am On Dec 18, 2021 ",Safyqueen,
49,,,"All this are thrash. Although Buhari is a failure but not in this respect. If you are waiting for western countries to score you high in all aspect of governance in nigeria, I am sorry you will be waiting for sun at night.Buhari listening to those neo-colonialist are even the source of our problem. World bank, IMF, even WHO and NGOs are all fake and tools for neo-colonialism. They are all pro-western countries for their special interests.The main reason Buhari is made to fail is because the majority of northern elites are not supporting his government, Buhari called them thieves which they actually are hence this sabotage on all facet be it security or economy we are seeing today.Government policy is not formulated by Mr president alone. Tell me one policy that Buhari introduced that has no good intentions and not good to our economy that people could not see and kick against right from 2015.There is no way this old former presidents will allow Buhari to outshine them.Buhari failed because we voted him to apply gamalin on these ""economic pests"", these useless mafians who thinks nigeria is theirs before others but decided to be fighting them instead of crushing them, so the grass must suffer from the two elephants fight."
50,"4:29am On Dec 18, 2021 ",,
51,,,"Why always Buhari?’ As it was in 1984 under General Buhari, so it is in 2016 and 2020 under President Buhari? Is it by the unfortunate hands of kismet, that recession hits nigeria every time Buhari takes charge of the country’s affairs? If the recession of the 80s under Buhari was a conspiracy by economic and political factors, to what do we attribute that of his first coming as a civilian president — and now in his second coming? Why does pestilence scourge the land, hunger ravage the population and lives lost malevolently when Buhari presides over the country? Why always Buhari?Buhari’s undoing is his wonted predilection for hierarchising ethnicity, religion and loyalty above competence. Since 1999, no president has obtrusively shown a more nepotistic aspect than Buhari. It is unarguable that the president arrays the most competence-challenged cabinet ever in the chronicle of governance in nigeria. Yes, a recession cabinet.Here is a cabinet constituting of figures stuck in a time when the world only saw pictures in black and white — characters from Pinocchio who see social media as a threat and troglodytes who think farming with hoe and cutlass is progress.Buhari’s agriculture minister, Sabo Nanono, once said there is no hunger in nigeria and that food is cheap in the country. Wait! Before you tag this as fake news read his exact words and be flummoxed.“I think we are producing enough to feed ourselves. I think there is no hunger in nigeria; there could be inconveniences. When people talk about hunger in this government, I just laugh. In this country, it is fairly cheap to buy food,’’ the minister said at a press briefing to mark the 2019 World Food Day in Abuja on October 15, 2019.This is one among the foundering protagonists of the Buhari administration. When native complexion and loyalty are prioritised above competence and performance, leadership suffers. I strongly believe even if nigeria’s constitution allows a third term and Buhari returns in 2023, recession will hit the country again. It appears anything he touches atrophies.Buhari is the type of boss every bungling brownnoser would like to work with. He rewards failure in the currency of loyalty. As long as you keep him sated with praises, you can keep your job. Why have the service chiefs who have failed in their duty of keeping the country safe not been sacked? Why are they still in office long after their retirement is due?The recession of 2016 was largely due to the incompetence of the Buhari government. Here is how Nairametrics, nigeria’s Bloomberg, puts it: “In a nutshell, what caused the last recession (of 2016) was not entirely the fall in oil prices. Rather, the lack of sound economic policies to diversify away from the volatility of crude oil prices, whilst boosting the nation’s non-oil exports, was also a major cause.”I concede, the recent recession (2020) is a corollary of the global economic meltdown compelled by the COVID-19 pandemic. There is a steep drop in oil prices and Diaspora remittances, and the stock market is prostrate. But there were warnings of this impending doom before its fruition. What could Buhari’s recession team have done different?The World Bank in its June 25, 2020 report had projected that nigeria would slip into a severe economic recession, the worst since the 1980s. Shubham Chaudhuri, World Bank country director for nigeria, recommended: “While the long-term economic impact of the global pandemic is uncertain, the effectiveness of the government’s response is important to determine the speed, quality, and sustainability of nigeria’s economic recovery. Besides immediate efforts to contain the spread of COVID-19 and stimulate the economy, it will be even more urgent to address bottlenecks that hinder the productivity of the economy and job creation.’’Even if the 2020 recession was inevitable, the Buhari administration hastened its climax and ossified the severity by its harebrained economic policies. Before the COVID-19 pandemic, the Buhari government whimsically closed the land borders, taking food out of the table of many Nigerians.The World Bank in the same report entitled, ‘nigeria in Times of COVID-19: Laying Foundations for Strong Economic Recovery’, impliedly said the land border closure of 2019 made the 2020 doomsday inexorable. Talk about heating the furnace.It said: “Analysis of the impact of the 2019 border closure found that it contributed to higher inflation—especially true for food, despite the relatively little impact on agricultural output. Because of the rises in food prices, Nigerian consumers now need to pay 2 percent more for the same basket of goods, with negative effects on their consumption.”Why always Buhari?I think, with the latest recession, Buhari is the only Nigerian president that has presided over the country under multiple recessions.What a legacy!"
52,"4:27am On Dec 18, 2021 ",,
53,,,"Why always Buhari?’ As it was in 1984 under General Buhari, so it is in 2016 and 2020 under President Buhari? Is it by the unfortunate hands of kismet, that recession hits nigeria every time Buhari takes charge of the country’s affairs? If the recession of the 80s under Buhari was a conspiracy by economic and political factors, to what do we attribute that of his first coming as a civilian president — and now in his second coming? Why does pestilence scourge the land, hunger ravage the population and lives lost malevolently when Buhari presides over the country? Why always Buhari?Buhari’s undoing is his wonted predilection for hierarchising ethnicity, religion and loyalty above competence. Since 1999, no president has obtrusively shown a more nepotistic aspect than Buhari. It is unarguable that the president arrays the most competence-challenged cabinet ever in the chronicle of governance in nigeria. Yes, a recession cabinet.Here is a cabinet constituting of figures stuck in a time when the world only saw pictures in black and white — characters from Pinocchio who see social media as a threat and troglodytes who think farming with hoe and cutlass is progress.Buhari’s agriculture minister, Sabo Nanono, once said there is no hunger in nigeria and that food is cheap in the country. Wait! Before you tag this as fake news read his exact words and be flummoxed.“I think we are producing enough to feed ourselves. I think there is no hunger in nigeria; there could be inconveniences. When people talk about hunger in this government, I just laugh. In this country, it is fairly cheap to buy food,’’ the minister said at a press briefing to mark the 2019 World Food Day in Abuja on October 15, 2019.This is one among the foundering protagonists of the Buhari administration. When native complexion and loyalty are prioritised above competence and performance, leadership suffers. I strongly believe even if nigeria’s constitution allows a third term and Buhari returns in 2023, recession will hit the country again. It appears anything he touches atrophies.Buhari is the type of boss every bungling brownnoser would like to work with. He rewards failure in the currency of loyalty. As long as you keep him sated with praises, you can keep your job. Why have the service chiefs who have failed in their duty of keeping the country safe not been sacked? Why are they still in office long after their retirement is due?The recession of 2016 was largely due to the incompetence of the Buhari government. Here is how Nairametrics, nigeria’s Bloomberg, puts it: “In a nutshell, what caused the last recession (of 2016) was not entirely the fall in oil prices. Rather, the lack of sound economic policies to diversify away from the volatility of crude oil prices, whilst boosting the nation’s non-oil exports, was also a major cause.”I concede, the recent recession (2020) is a corollary of the global economic meltdown compelled by the COVID-19 pandemic. There is a steep drop in oil prices and Diaspora remittances, and the stock market is prostrate. But there were warnings of this impending doom before its fruition. What could Buhari’s recession team have done different?The World Bank in its June 25, 2020 report had projected that nigeria would slip into a severe economic recession, the worst since the 1980s. Shubham Chaudhuri, World Bank country director for nigeria, recommended: “While the long-term economic impact of the global pandemic is uncertain, the effectiveness of the government’s response is important to determine the speed, quality, and sustainability of nigeria’s economic recovery. Besides immediate efforts to contain the spread of COVID-19 and stimulate the economy, it will be even more urgent to address bottlenecks that hinder the productivity of the economy and job creation.’’Even if the 2020 recession was inevitable, the Buhari administration hastened its climax and ossified the severity by its harebrained economic policies. Before the COVID-19 pandemic, the Buhari government whimsically closed the land borders, taking food out of the table of many Nigerians.The World Bank in the same report entitled, ‘nigeria in Times of COVID-19: Laying Foundations for Strong Economic Recovery’, impliedly said the land border closure of 2019 made the 2020 doomsday inexorable. Talk about heating the furnace.It said: “Analysis of the impact of the 2019 border closure found that it contributed to higher inflation—especially true for food, despite the relatively little impact on agricultural output. Because of the rises in food prices, Nigerian consumers now need to pay 2 percent more for the same basket of goods, with negative effects on their consumption.”Why always Buhari?I think, with the latest recession, Buhari is the only Nigerian president that has presided over the country under multiple recessions.What a legacy!"
54,"4:22am On Dec 18, 2021 ",,
55,,,"Why always Buhari?’ As it was in 1984 under General Buhari, so it is in 2016 and 2020 under President Buhari? Is it by the unfortunate hands of kismet, that recession hits nigeria every time Buhari takes charge of the country’s affairs? If the recession of the 80s under Buhari was a conspiracy by economic and political factors, to what do we attribute that of his first coming as a civilian president — and now in his second coming? Why does pestilence scourge the land, hunger ravage the population and lives lost malevolently when Buhari presides over the country? Why always Buhari?Buhari’s undoing is his wonted predilection for hierarchising ethnicity, religion and loyalty above competence. Since 1999, no president has obtrusively shown a more nepotistic aspect than Buhari. It is unarguable that the president arrays the most competence-challenged cabinet ever in the chronicle of governance in nigeria. Yes, a recession cabinet.Here is a cabinet constituting of figures stuck in a time when the world only saw pictures in black and white — characters from Pinocchio who see social media as a threat and troglodytes who think farming with hoe and cutlass is progress.Buhari’s agriculture minister, Sabo Nanono, once said there is no hunger in nigeria and that food is cheap in the country. Wait! Before you tag this as fake news read his exact words and be flummoxed.“I think we are producing enough to feed ourselves. I think there is no hunger in nigeria; there could be inconveniences. When people talk about hunger in this government, I just laugh. In this country, it is fairly cheap to buy food,’’ the minister said at a press briefing to mark the 2019 World Food Day in Abuja on October 15, 2019.This is one among the foundering protagonists of the Buhari administration. When native complexion and loyalty are prioritised above competence and performance, leadership suffers. I strongly believe even if nigeria’s constitution allows a third term and Buhari returns in 2023, recession will hit the country again. It appears anything he touches atrophies.Buhari is the type of boss every bungling brownnoser would like to work with. He rewards failure in the currency of loyalty. As long as you keep him sated with praises, you can keep your job. Why have the service chiefs who have failed in their duty of keeping the country safe not been sacked? Why are they still in office long after their retirement is due?The recession of 2016 was largely due to the incompetence of the Buhari government. Here is how Nairametrics, nigeria’s Bloomberg, puts it: “In a nutshell, what caused the last recession (of 2016) was not entirely the fall in oil prices. Rather, the lack of sound economic policies to diversify away from the volatility of crude oil prices, whilst boosting the nation’s non-oil exports, was also a major cause.”I concede, the recent recession (2020) is a corollary of the global economic meltdown compelled by the COVID-19 pandemic. There is a steep drop in oil prices and Diaspora remittances, and the stock market is prostrate. But there were warnings of this impending doom before its fruition. What could Buhari’s recession team have done different?The World Bank in its June 25, 2020 report had projected that nigeria would slip into a severe economic recession, the worst since the 1980s. Shubham Chaudhuri, World Bank country director for nigeria, recommended: “While the long-term economic impact of the global pandemic is uncertain, the effectiveness of the government’s response is important to determine the speed, quality, and sustainability of nigeria’s economic recovery. Besides immediate efforts to contain the spread of COVID-19 and stimulate the economy, it will be even more urgent to address bottlenecks that hinder the productivity of the economy and job creation.’’Even if the 2020 recession was inevitable, the Buhari administration hastened its climax and ossified the severity by its harebrained economic policies. Before the COVID-19 pandemic, the Buhari government whimsically closed the land borders, taking food out of the table of many Nigerians.The World Bank in the same report entitled, ‘nigeria in Times of COVID-19: Laying Foundations for Strong Economic Recovery’, impliedly said the land border closure of 2019 made the 2020 doomsday inexorable. Talk about heating the furnace.It said: “Analysis of the impact of the 2019 border closure found that it contributed to higher inflation—especially true for food, despite the relatively little impact on agricultural output. Because of the rises in food prices, Nigerian consumers now need to pay 2 percent more for the same basket of goods, with negative effects on their consumption.”Why always Buhari?I think, with the latest recession, Buhari is the only Nigerian president that has presided over the country under multiple recessions.What a legacy!"
56,"8:05am On Dec 15, 2021 ",AyaE,
57,,,"“Australia can’t afford to go into another lockdown”?? Omooo I dey laugh when I see statements like this. Listen, when it comes to Aussie border restrictions NOTHING, absolutely NOTHING is guaranteed for temporary visa holders. Aussie is a country very protective of their vulnerable and aged persons, should anything threaten the public health they will do anything to protect that. Especially with the elections coming up soon, they will not want to ruin the good records they have. No go dey reason am o. If you have the visa leave as fast as you can. Love and light ✌�"
58,"10:30pm On Dec 12, 2021 ",sultaan,
59,,,"Set Ke?Please do it, I beg do it.I dare them to do it, double dare them to do it.If a country does not have the ball to finish a fight it should never get into.The main problem of nigeria is those that make policies do not review nor consult beore making a national blunder then they go home turn on their generator to see the repercussions of their blunder  on the country, and they never get to pay for such action or put measures in place to prevent a repeat.Example was the closure of the border without consultation.Nigerian economy is in the soak away, Apapa is a big mess, not one single good can be said to have been achieved.Yet they all get to keep their job and government pay while all others lose theirs."
60,"3:52am On Dec 10, 2021 ",complexBoss12,
61,,,"I was in bar the day Omicron Virus started trending, one guy was calling for border closure immediately, especially against SA where it originated. I was like ""how can money be siphoned if the virus doesn't enter??"" It was not up to 3 days, SA president paid official visit and  boom! they said some in his entourage had the virus, lol. Now nigeria is on travel restrictions and they will spend billions to contain the virus, while looking for where to borrow to pay salaries, life goes on!"
62,"12:49pm On Dec 04, 2021 ",DoDirtsLikeWorm,
63,,, Fingers crossed.
64,"10:54am On Dec 03, 2021 ",Vincentosa,
65,,,"True, they aren't doing that at all for now. There is high shortage of skilled workers in Australia.  Let's hope that they are not thinking in the direction of border closure due to fear of Omicronquote author=Collins605 post=108164952]No need for panick, Australia is not ready to shut down borders to international studentshttps://www.sbs.com.au/news/traveller-who-arrived-in-sydney-from-nigeria-confirmed-as-nsw-s-sixth-omicron-covid-19-case/6456e190-6fc5-49cc-9937-b8090c652234[/quote]"
66,"10:54am On Nov 29, 2021 ",Shehuyinka,
67,,,"A large swath of Northern nigeria is now at the mercy of marauding bandits. From Adamawa to Zamfara, the region has become bandits’ killing fields. Images of massacres are too gruesome to watch and the stories from survivors too heartbreaking to hear but, hearing and watching we must, because this is the reality under which our people now live.These bandits roll into our towns and villages in convoys of motorcycles riding three on each, brandishing AK47 rifles. They spend hours killing, burning, raping, carting away livestock, and abducting women as sex slaves. They put taxes on the people and keep coming back, again and again to attack because of the absence of law enforcement to protect the people. Security personnel oftentimes show up after the carnage to count the bodies.It is not only tragic but shameful that these bunch of ragtag bandits on motorcycles wielding nothing more than rusty AK47 rifles can roam the land with impunity causing so many deaths and destruction in a nation with a standing Armed Forces and Police force.Anytime President Muhammadu Buhari talks about the insecurity bedeviling this nation either at home or at his many international outings, he refers only to Boko Haram without even acknowledging banditry and kidnapping as major security problems.The few times he talks about banditry, he admits he doesn’t “understand why people of the same religion and ethnicity are killing themselves”. Lately, he has jokingly added that he will speak to them “in the language they understand”. He usually concludes his remarks by saying that he has ordered the Military to be “ruthless” in dealing with them.The things I find most depressing about the President’s pronouncements and body language are: {1}. He seems distant and disconnected from the realities of our people,. {2}. He sees banditry as a Military problem that requires a Military solution, {3}. He does not appear  properly briefed on the causes and the existential threat that banditry poses to the nation, {4}. His unwillingness to understand banditry beyond the Military prism {5}. His refusal to widen his cycle of consultations beyond the Military to involve community leaders, traditional rulers, clerics, victims and their families and academics that have done excellent research on banditry.MEASURES THAT HAVE NOT WORKED{1}. border closure: closure of nigeria’s land borders for 16 months has not been effective in stemming the flow of illegal weapons into the country.{2}. “Rejigging the security architecture”: Which included changing the Service Chiefs and the Presidential directive to them to bring peace to the land so that farmers could return to their farms during the rainy season.{3}. Shoot on sight order: “The president has ordered security forces to go into the bushes and shoot whoever they see with sophisticated weapons like AK-47. He ordered that whoever is seen with terrible weapons at all should be shot immediately.”  – – Garba Shehu (Presidential Spokesman) 3, March 2021.{4}. Ban on mining in Zamfara stare:“ His Excellency the President has approved, based on our recommendations, the imposition and enforcement of all mining activities in Zamfara state with immediate effect until further notice.  – Gen. B. M. Monguno (NSA) 2, March 2021{5}. Deployment of massive Military and Intelligence assets:  “The President has directed the Hon.Minister of Defence and the National Security Adviser to deploy massive Military and Intelligence assets to restore normalcy to that part of the country”  – – Gen. B. M. Monguno (NSA) 2, March 2021.READ MORE HERE: https://www.icirnigeria.org/banditry-things-are-falling-apart-the-centre-is-not-holding/"
68,"10:36am On Nov 26, 2021 ",ayo2008,
69,,,Our leaders are the main problemHow many of them are patronising made in nigeria products? It was in the news that National assembly members rejected Innoson vehicles for for foreign automobiles. Don't let us decieve ourselves.Local products have skyrocketed cos of Monopoly...Let the president open border for equilibrium in prices
70,"7:46am On Nov 26, 2021 ",ayo2008,
71,,,closure of border has done more harm than Good. Local food production is even more expensive
72,"5:43pm On Nov 25, 2021 ",UnknownT,
73,,, so how did our manufacturing sector fair with the border closure?
74,"4:52pm On Nov 25, 2021 ",perambulator,
75,,,"I was in favour of the border closure and in principle I still am, unfortunately you cant farm when your life is in danger on the farm or people destroy your crops with impunity."
